Stage,Code,Course Name,Prerequisites,Theoretical Units,Practical Units,Course Type,description
کاردانی,55009,ریاضیات و آمار پیش‌دانشگاهی,---,2,0,پیش دانشگاهی,---
کاردانی,55004,زبان انگلیسی پیش‌دانشگاهی,---,2,0,پیش دانشگاهی,---
کاردانی,5373100820,ادبیات کودکان و نوجوانان,---,2,0,تخصصی,---
کاردانی,5373182721,اصول و مبانی آموزش و پرورش ابتدایی,روانشناسی تربیتی,2,0,تخصصی,---
کاردانی,5373111509,بررسی کتب تعلیمات اجتماعی د.ا.,کلیات روشها و فنون تدریس ۱- روش تدریس تعلیمات اجتماعی د.ا.,0,2,تخصصی,---
کاردانی,5373182757,بررسی کتب ریاضی د.ا.,کلیات روشها و فنون تدریس ۱- روش تدریس ریاضی د.ا.,0,2,تخصصی,---
کاردانی,5373111564,بررسی کتب علوم تجربی د.ا.,کلیات روشها و فنون تدریس ۱- روش تدریس علوم تجربی د.ا.,0,2,تخصصی,---
کاردانی,5373180639,بررسی کتب فارسی د.ا.,کلیات روشها و فنون تدریس ۱- روش تدریس فارسی د.ا.,0,2,تخصصی,---
کاردانی,5373174746,تمرین معلمی ۱,کلیات روشها و فنون تدریس ۱- کلیات روشها و فنون تدریس ۲ - روانشناسی تربیتی,0,1.5,تخصصی,---
کاردانی,5373119665,تمرین معلمی ۲,تمرین معلمی ۱,0,1.5,تخصصی,---
کاردانی,5373124972,خوشنویسی ۱,---,0,1,تخصصی,---
کاردانی,5373124978,خوشنویسی ۲,خوشنویسی ۱,0,1,تخصصی,---
کاردانی,5373128129,روش تدریس املاء و انشاء و دستور زبان,کلیات روشها و فنون تدریس ۱- روش تدریس فارسی د.ا.,2,0,تخصصی,---
کاردانی,5373180654,روش تدریس تعلیمات اجتماعی د.ا. ,کلیات روشها و فنون تدریس ۱,1,1,تخصصی,---
کاردانی,5373127491,روش تدریس ریاضی د.ا.,کلیات روشها و فنون تدریس ۱- ریاضیات و آمار پیش‌دانشگاهی,1,1,تخصصی,---
کاردانی,5373128256,روش تدریس علوم تجربی د.ا.,کلیات روشها و فنون تدریس ۱,1,1,تخصصی,---
کاردانی,5373128274,روش تدریس فارسی د.ا.,کلیات روشها و فنون تدریس ۱,2,1,تخصصی,---
کاردانی,5373182742,روش تدریس قرآن در د.ا.,انس با قرآن کریم,1,1,تخصصی,---
کاردانی,5373127494,روش تدریس و بررسی کتب دینی د.ا.,کلیات روشها و فنون تدریس ۱,2,1,تخصصی,---
کاردانی,5373182769,روش تدریس و بررسی کتب هنر د.ا.,کلیات روشها و فنون تدریس ۱- خوشنویسی ۱ - خوشنویسی ۲- طراحی و نقاشی,1,1,تخصصی,---
کاردانی,5373182772,روش تدریس ورزش و بازیهای د.ا.,کلیات روشها و فنون تدریس ۱- ورزشها و بازیهای دبستانی,1,1,تخصصی,---
کاردانی,5373180691,سازمان و اداره امور مدارس,---,1,0,تخصصی,---
کاردانی,5373136006,شناخت کودکان استثنایی,روانشناسی عمومی,2,0,تخصصی,---
کاردانی,5373136944,طراحی و نقاشی,---,0,1,تخصصی,---
کاردانی,5373182778,کاردستی در کارگاه,---,0,1,تخصصی,---
کاردانی,5373155865,ورزشها و بازیهای دبستانی,---,0,1,تخصصی,---
کاردانی,5373126897,روانشناسی تربیتی,روانشناسی عمومی,2,0,تربیتی,---
کاردانی,5373126845,روانشناسی عمومی,---,2,0,تربیتی,---
کاردانی,5373134161,سنجش و اندازه‌گیری پیشرفت تحصیلی,کلیات روشها و فنون تدریس ۱,2,0,تربیتی,---
کاردانی,5373174221,طراحی تولید و کاربرد مواد آموزشی,کلیات روشها و فنون تدریس ۱,1,1,تربیتی,---
کاردانی,5373161413,کلیات راهنمایی و مشاوره,روانشناسی تربیتی,2,0,تربیتی,---
کاردانی,5373161301,کلیات روشها و فنون تدریس ۱,---,2,0,تربیتی,---
کاردانی,5373161302,کلیات روشها و فنون تدریس ۲,کلیات روشها و فنون تدریس ۱,0,1,تربیتی,---
کاردانی,5373150830,مقدمات روشهای مطالعه و پژوهش,---,0,1,تربیتی,---
کاردانی,90610,اندیشه اسلامی ۱,---,2,0,عمومی,غیرهمزمان
